# Rime user dictionary
#@/db_name	pinyin_simp.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	31502
#@/user_id	sylvan-macbook
a 	啊	c=37 d=1.04009 t=30881
jing li 	精力	c=1 d=1 t=11946
jing li 	经历	c=1 d=1 t=6530
jing ming 	精明	c=1 d=0.131994 t=31502
jing mo 	静默	c=1 d=1 t=497
jing pai 	精排	c=1 d=0.0623495 t=31502
jing qiao qiao 	静悄悄	c=1 d=1 t=16532
jing tai 	静态	c=7 d=1.03587 t=21019
jing ti 	警惕	c=1 d=1 t=2884
jing tong 	精通	c=5 d=1 t=20129
jing xi 	惊喜	c=0 d=0.000373503 t=31502
jing xia 	井下	c=1 d=1 t=19064
jing xin 	惊心	c=1 d=0.0127784 t=31502
jing xuan 	竞选	c=2 d=1.98511 t=15354
jing yan 	经验	c=1 d=1 t=6983
jing ye 	敬业	c=1 d=0.0154523 t=31502
jiu 	久	c=5 d=0.343316 t=31502
jiu 	就	c=215 d=1.68323 t=31502
jiu 	旧	c=4 d=1 t=23648
jiu 	酒	c=1 d=1 t=18412
jiu cuo 	纠错	c=2 d=1.97531 t=15555
jiu dian 	酒店	c=40 d=1.00056 t=29187
jiu hao 	就好	c=2 d=1 t=28085
jiu jie 	纠结	c=1 d=1 t=23294
jiu jing 	酒精	c=0 d=0.1 t=19807
jiu jing gan 	酒精肝	c=1 d=1 t=19808
jiu shi 	就是	c=34 d=0.432721 t=31502
jiu shi zhe yang 	就是这样	c=0 d=0.000179994 t=31502
jiu shuo 	就说	c=1 d=1 t=25156
jiu suan 	就算	c=1 d=1 t=13343
jiu xiang 	就像	c=1 d=1 t=6524
jiu xiang 	就想	c=3 d=1.98511 t=18581
jiu xiang shi 	就像是	c=1 d=0.0695994 t=31502
jiu xing 	就行	c=6 d=1.26982 t=22437
jiu zuo 	久坐	c=1 d=1 t=18487
ju 	举	c=1 d=1 t=23192
ju 	剧	c=3 d=0.56836 t=31502
ju 	聚	c=1 d=1 t=6090
ju can 	聚餐	c=1 d=1 t=19838
ju hua 	菊花	c=5 d=1.99006 t=30129
ju jue 	拒绝	c=1 d=1 t=6640
ju le 	举了	c=1 d=1 t=23213
ju li 	距离	c=0 d=0.1 t=20089
ju ran 	居然	c=7 d=1 t=19651
ju ti 	具体	c=6 d=0.00637737 t=31502
ju yi xia 	剧一下	c=1 d=1 t=23189
ju zhong 	剧中	c=1 d=1 t=15265
ju zhong 	居中	c=1 d=1 t=15266
juan 	卷	c=2 d=0.1 t=29987
juan jie 	卷解	c=1 d=1 t=9805
juan jie 	娟姐	c=3 d=1 t=29477
jue 	爵	c=1 d=1 t=31296
jue 	觉	c=6 d=1.99501 t=25908
jue 	诀	c=1 d=1 t=31295
jue de 	觉得	c=30 d=0.177244 t=31502
jue ding 	决定	c=5 d=0.00131358 t=31502
jue ge 	觉个	c=1 d=1 t=19067
jun 	俊	c=1 d=1 t=29328
jun 	军	c=1 d=0.154124 t=31502
jun 	君	c=24 d=0.88692 t=31502
jun 	均	c=2 d=1 t=24520
jun de 	君的	c=1 d=1 t=28979
jun fen 	均分	c=1 d=1 t=30554
jun ge 	君哥	c=21 d=1.44486 t=31223
jun guo 	君锅	c=2 d=1 t=22019
ka 	卡	c=37 d=1.00165 t=28654
ka chen ai 	卡尘埃	c=1 d=1 t=4887
ka dun 	卡顿	c=1 d=1 t=20099
ka fa lv 	卡法律	c=1 d=1 t=12399
ka hao 	卡号	c=1 d=1 t=2010
ka luo la 	卡罗拉	c=6 d=1.62865 t=27327
ka n 	卡嗯	c=1 d=1 t=114
ka pian 	卡片	c=14 d=0.989777 t=31502
kai 	开	c=42 d=3.23131 t=31502
kai che 	开车	c=4 d=1.00273 t=26855
kai chu 	开出	c=1 d=1 t=25753
kai fa 	开发	c=62 d=1.34132 t=31360
kai fu 	开福	c=2 d=2.08411 t=4467
kai fu qu 	开福区	c=2 d=1.98511 t=4469
kai hui 	开会	c=2 d=0.00932553 t=31502
kai jiang 	开讲	c=2 d=1.98511 t=19266
kai kai 	开开	c=1 d=1 t=30824
kai ku cha 	开裤衩	c=1 d=1 t=25216
kai qi 	开启	c=6 d=1.03684 t=26166
kai shi 	开始	c=46 d=0.0343896 t=31502
kai wan 	开完	c=1 d=1 t=26438
kai xiao 	开销	c=1 d=1 t=21307
kai xin 	开心	c=1 d=1 t=14868
kai zhan 	开展	c=1 d=1 t=24197
kan 	坎	c=1 d=1 t=30635
kan 	看	c=196 d=0.61251 t=31502
kan 	砍	c=0 d=0.1 t=7619
kan dai 	看待	c=1 d=1 t=24804
kan dao 	看到	c=17 d=1.00345 t=30863
kan de 	看得	c=0 d=0.1 t=21725
kan de shang 	看得上	c=1 d=1 t=21726
kan dong 	看懂	c=1 d=1 t=22987
kan fa 	看法	c=2 d=1 t=24682
kan gu o 	看股哦	c=1 d=1 t=8104
kan guo 	看过	c=1 d=0.113042 t=31502
kan hao 	看好	c=1 d=0.0129068 t=31502
kan jian 	看见	c=3 d=1.94176 t=24424
kan jing ji 	看经济	c=1 d=1 t=25946
kan kan 	看看	c=57 d=0.327319 t=31502
kan kan jiu 	看看就	c=1 d=1 t=13202
kan qi 	看起	c=3 d=1 t=29053
kan shang qu 	看上去	c=1 d=1 t=14696
kan shi 	看是	c=2 d=1.83527 t=26523
kan shi pin 	看视频	c=1 d=0.516851 t=31502
kan wan 	看完	c=4 d=0.183138 t=31502
kan wei 	看为	c=1 d=1 t=27092
kan xia 	看下	c=7 d=1.00452 t=30070
kan zhe 	看着	c=2 d=0.1 t=21606
kan zhe wu 	看着无	c=1 d=1 t=21607
kao 	烤	c=2 d=1 t=12782
kao 	考	c=13 d=2.96505 t=11957
kao 	靠	c=2 d=1 t=12783
kao bei 	拷贝	c=3 d=0.481909 t=31502
kao lv 	考虑	c=21 d=0.0395575 t=31502
kao ping 	考评	c=1 d=1 t=17743
kao pu 	靠谱	c=5 d=1.9802 t=24928
kao shi 	考试	c=5 d=1 t=24518
kao wan 	考完	c=1 d=1 t=11704
kao yan 	考研	c=1 d=1 t=11942
ke 	克	c=1 d=1 t=20917
ke 	可	c=20 d=0.764044 t=31502
ke 	客	c=6 d=1.01033 t=17501
ke 	科	c=1 d=1 t=9594
ke 	课	c=2 d=1.32956 t=10015
ke cheng 	课程	c=4 d=0.568839 t=31502
ke da 	科大	c=1 d=1 t=8443
ke fu 	客服	c=8 d=0.00327971 t=31502
ke hu 	客户	c=2 d=1 t=12172
ke hu duan 	客户端	c=1 d=1 t=28812
ke ji 	科技	c=2 d=1.98511 t=9871
ke n ne ge 	可嗯呢个	c=1 d=1 t=25825
ke n neng 	可嗯能	c=3 d=1 t=27696
ke ne neng 	可呢能	c=1 d=1 t=21963
ke neng 	可能	c=39 d=0.165774 t=31502
ke qi 	客气	c=5 d=3.76083 t=21760
ke shi 	可是	c=2 d=0.771052 t=31502
ke shi hua 	可视化	c=3 d=2.5462 t=27495
ke ting 	客厅	c=5 d=3.28877 t=17912
ke xing 	可行	c=1 d=1 t=27474
ke yi 	可以	c=202 d=0.895389 t=31502
ke yi bu 	可以不	c=1 d=1 t=5983
ke yi xia 	可以下	c=1 d=1 t=21493
ke yi yong 	可以用	c=1 d=1 t=29181
ke yong 	可用	c=3 d=0.00272578 t=31502
ke yu 	可与	c=0 d=0.1 t=2181
ke yu chu 	可与出	c=1 d=1 t=2182
ke zhi 	克制	c=1 d=0.367879 t=31502
ke zhi xing 	可执行	c=1 d=1 t=10171
ken ding 	肯定	c=1 d=1 t=4248
keng 	坑	c=13 d=2.95924 t=28291
keng de 	坑的	c=1 d=1 t=23333
keng wei 	坑位	c=1 d=1 t=27093
kong 	孔	c=1 d=1 t=24136
kong 	控	c=2 d=1 t=30804
kong 	空	c=18 d=1.00005 t=29100
kong ge 	空格	c=9 d=1 t=29005
kong hang 	空行	c=2 d=1.06654 t=31300
kong jian 	控件	c=2 d=1.00006 t=2020
kong jian 	空间	c=6 d=2.67093 t=30612
kong qi 	空气	c=2 d=1.98511 t=17920
kong que 	空缺	c=1 d=1 t=11101
kong shi 	空是	c=1 d=1 t=5569
kong tiao 	空调	c=6 d=1.48282 t=18054
kong xian 	空闲	c=2 d=1.00028 t=5018
kong zhi 	控制	c=5 d=1 t=13854
kong zhi 	空值	c=4 d=1.37909 t=10586
kong zhi tai 	控制台	c=3 d=1 t=13629
kou 	口	c=6 d=0.0838854 t=31502
kou dai 	口袋	c=1 d=1 t=29177
kou fei 	抠费	c=1 d=1 t=4621
kou qi 	口气	c=1 d=1 t=18209
kou wei 	口味	c=1 d=1 t=29251
ku 	哭	c=2 d=1 t=28772
ku 	库	c=7 d=0.19593 t=31502
ku cha 	裤衩	c=1 d=0.0342181 t=31502
ku le 	哭了	c=1 d=1 t=28721
kua 	夸	c=3 d=1 t=24863
kuai 	块	c=9 d=0.904837 t=31502
kuai 	快	c=13 d=0.5496 t=31502
kuai di 	快递	c=4 d=1 t=30585
kuai du 	快堵	c=2 d=1 t=30596
kuai ji 	会计	c=1 d=0.0980199 t=31502
kuai jian 	快件	c=1 d=1 t=25078
kuai jie 	快捷	c=5 d=1.2904 t=25514
kuai jie jian 	快捷键	c=8 d=0.794261 t=31502
kuai kuai ji 	快会计	c=1 d=0.985112 t=31502
kuai le 	快乐	c=1 d=1 t=4132
kuai qian 	块钱	c=1 d=1 t=9995
kuai qian 	快钱	c=49 d=1 t=31343
kuai su 	快速	c=3 d=1.33059 t=24101
kuai zhao 	快照	c=1 d=1 t=7900
kuan 	宽	c=1 d=1 t=30555
kuan 	款	c=2 d=1 t=29287
kuan du 	宽度	c=4 d=2.73482 t=30597
kuan shi 	款式	c=1 d=1 t=14975
kuang 	框	c=7 d=1 t=28379
kuang jia 	框架	c=4 d=2.58312 t=25139
kuang lan 	狂澜	c=1 d=0.166127 t=31502
kui 	亏	c=0 d=0.1 t=13350
kui jian 	窥见	c=1 d=0.149569 t=31502
kui kong 	亏空	c=1 d=0.151829 t=31502
kui yang 	溃疡	c=1 d=1 t=18211
kun 	困	c=17 d=0.321422 t=31502
kun chong 	昆虫	c=0 d=0.1 t=19378
kun ji 	困急	c=1 d=1 t=21030
kuo 	扩	c=2 d=1.81465 t=5495
kuo zhan 	扩展	c=1 d=1 t=6927
la 	啦	c=6 d=1.00644 t=23481
la 	拉	c=13 d=1.16968 t=27728
la 	辣	c=1 d=1 t=19170
la chang 	拉长	c=1 d=1 t=3534
la ji 	垃圾	c=3 d=1.00001 t=15336
la ren 	拉人	c=0 d=0.1 t=14943
lai 	来	c=80 d=1.33389 t=31502
lai 	赖	c=1 d=1 t=17258
lai dao 	来到	c=1 d=0.33454 t=31502
lai fang 	来访	c=1 d=1 t=30161
lai jiang 	来讲	c=1 d=0.00565622 t=31502
lai kan 	来看	c=1 d=1 t=16610
lai yuan 	来源	c=1 d=1 t=11231
lai zhe 	来着	c=5 d=1 t=27148
lai zi 	来自	c=2 d=1 t=30283
lan 	懒	c=1 d=1 t=4422
lan 	栏	c=2 d=0.1 t=17433
lan 	蓝	c=2 d=1.0047 t=7289
lan hu 	栏湖	c=1 d=1 t=30499
lan hu 	蓝湖	c=2 d=1.09255 t=30978
lan jie 	拦截	c=4 d=0.100092 t=20699
lan jie qi 	拦截器	c=1 d=1 t=20700
lang 	朗	c=1 d=1 t=15397
lang 	浪	c=0 d=0.0132655 t=31502
lang 	郎	c=9 d=1.80872 t=28004
lang de xu ming 	浪得虚名	c=1 d=0.13332 t=31502
lang du 	朗读	c=2 d=1.42956 t=11491
lang fei 	浪费	c=1 d=1 t=28688
lao 	佬	c=1 d=1 t=12785
lao 	老	c=21 d=1 t=30943
lao ban 	老板	c=5 d=1 t=26970
lao chen 	老陈	c=2 d=1.23693 t=6779
lao di 	老弟	c=4 d=1 t=17457
lao ge 	老哥	c=4 d=1 t=25858
lao gong 	老公	c=1 d=1 t=6410
lao jia 	老家	c=2 d=1 t=19848
lao jie 	老姐	c=2 d=1.66365 t=18006
lao lao shi shi 	老老实实	c=1 d=1 t=23745
lao liu 	老刘	c=1 d=1 t=5343
lao ma 	老妈	c=1 d=1 t=9723
lao mei 	老妹	c=1 d=1 t=17972
lao po 	老婆	c=58 d=1.01349 t=31409
lao ren 	老人	c=2 d=0.0885579 t=31502
lao shi 	老师	c=6 d=1.00164 t=22602
lao shi 	老是	c=3 d=1.00164 t=22603
lao te 	老特	c=1 d=1 t=27177
lao xiang 	老想	c=1 d=1 t=11700
lao you ji 	老友记	c=2 d=1.96561 t=19993
lao zi 	老子	c=1 d=1 t=5700
le 	了	c=1022 d=3.19578 t=31502
le 	叻	c=5 d=1.97542 t=16185
le chi 	了吃	c=1 d=1 t=239
le guan 	乐观	c=2 d=1.9802 t=23697
le jie 	了解	c=11 d=1 t=27530
le le 	乐乐	c=1 d=1 t=23154
le qu 	乐趣	c=1 d=1 t=23256
lei 	类	c=5 d=1.99501 t=22129
lei 	累	c=4 d=1.37245 t=24844
lei si 	类似	c=4 d=0.10383 t=31502
lei ting 	雷霆	c=0 d=0.1 t=12074
lei xing 	类型	c=35 d=3.59944 t=31162
li 	利	c=2 d=1.87372 t=9312
li 	力	c=3 d=1 t=24420
li 	厉	c=1 d=1 t=7160
li 	李	c=5 d=1.00005 t=13869
li 	理	c=1 d=1 t=2782
li 	离	c=4 d=1.85776 t=6578
li 	里	c=23 d=1.11564 t=30967
li bai 	礼拜	c=4 d=1.93239 t=14939
li chang 	立场	c=1 d=1 t=5792
li hai 	厉害	c=1 d=1 t=17885
li hao 	利好	c=1 d=0.00123091 t=31502
li hao 	黎浩	c=1 d=0.0159229 t=31502
li hong zhang 	李鸿章	c=1 d=1 t=21089
li hun 	离婚	c=1 d=1 t=6574
li ji 	立即	c=2 d=0.00460782 t=31502
li jie 	理解	c=4 d=1 t=29841
li m 	里呒	c=43 d=1.18159 t=31244
li m ba 	里呒吧	c=1 d=1 t=31219
li mian 	里面	c=39 d=1.34007 t=31220
li miao 	里瞄	c=1 d=1 t=12823
li nian 	理念	c=3 d=1 t=28604
li shi 	历史	c=22 d=0.165358 t=31502
li te 	力特	c=1 d=0.0160829 t=31502
li wu 	礼物	c=1 d=1 t=15359
li xian 	离线	c=1 d=1 t=2180
li yong 	利用	c=2 d=0.00416933 t=31502
li yu 	利于	c=4 d=1 t=31487
li zhi 	离职	c=1 d=1 t=2694
lia 	俩	c=1 d=1 t=9072
lian 	练	c=2 d=1 t=20500
lian 	联	c=2 d=1 t=13317
lian 	莲	c=1 d=1 t=26549
lian 	连	c=1 d=1 t=20501
lian ai 	恋爱	c=1 d=1 t=1946
lian cheng 	联程	c=1 d=1 t=3643
lian jie 	连接	c=2 d=1 t=31122
lian jie 	链接	c=9 d=0.554327 t=31502
lian lian 	练练	c=1 d=1 t=4929
lian m xi 	练呒系	c=1 d=1 t=25333
lian meng 	联盟	c=1 d=1 t=6348
lian wang 	联网	c=1 d=1 t=20556
lian xi 	练习	c=8 d=0.980199 t=31502
lian xi 	联系	c=6 d=0.97531 t=31502
lian xu 	连续	c=1 d=1 t=14527
liang 	两	c=24 d=0.085435 t=31502
liang 	俩	c=10 d=1 t=29196
liang 	量	c=4 d=1 t=29958
liang ban 	两班	c=2 d=0.0270518 t=31502
liang bian 	两边	c=1 d=1 t=11858
liang ci 	两次	c=1 d=1 t=24517
liang ge 	两个	c=15 d=0.0248475 t=31502
liang hui 	两会	c=1 d=1 t=10779
liang jie 	谅解	c=1 d=1 t=27717
liang liang 	亮亮	c=1 d=0.878095 t=31502
liang liang 	凉凉	c=1 d=1 t=7600
liang nian 	两年	c=2 d=1 t=10095
liang pian 	两篇	c=1 d=0.0808629 t=31502
liang qian 	两千	c=1 d=1 t=5816
liang san 	两三	c=2 d=1.97045 t=16352
liang tao 	两套	c=2 d=1 t=25958
liang tian 	两天	c=7 d=1.00231 t=27945
liang zhe 	两者	c=1 d=0.0972957 t=31502
liang zhong 	两种	c=2 d=0.0958472 t=31502
liao 	聊	c=2 d=0.0187205 t=31502
liao jie 	了解	c=1 d=0.120633 t=31502
liao liao 	聊聊	c=2 d=1.00021 t=6958
liao sheng yu wu 	聊胜于无	c=1 d=0.110251 t=31502
liao shi 	聊是	c=1 d=1 t=19006
liao tian 	聊天	c=2 d=1.98511 t=23622
liao xi 	聊系	c=1 d=1 t=17713
lie 	列	c=1 d=1.09512 t=10316
lie biao 	列表	c=4 d=1.01769 t=28741
lin 	林	c=2 d=1 t=26430
lin ju 	邻居	c=2 d=1.80654 t=21755
lin shi 	临时	c=5 d=1 t=26396
lin ye 	林业	c=1 d=1 t=8901
ling 	令	c=1 d=0.148823 t=31502
ling 	另	c=2 d=1 t=18806
ling 	灵	c=2 d=1 t=27165
ling dao 	领导	c=1 d=0.594521 t=31502
ling jian 	零件	c=0 d=0.00023461 t=31502
ling ju 	另据	c=1 d=1 t=21707
ling lei 	另类	c=1 d=0.0871609 t=31502
ling qu 	领取	c=1 d=0.524663 t=31502
ling sai la 	令赛啦	c=1 d=0.722527 t=31502
ling shuo 	令说	c=1 d=1 t=18804
ling wai 	另外	c=1 d=1 t=3895
ling yu 	领域	c=1 d=1 t=14946
liu 	刘	c=11 d=0.878095 t=31502
liu 	流	c=4 d=1.00043 t=17171
liu 	溜	c=1 d=1 t=2191
liu 	留	c=1 d=1 t=16490
liu bai 	留白	c=2 d=1.86936 t=30898
liu bo 	刘博	c=1 d=1 t=24910
liu bo 	刘波	c=1 d=1 t=24907
liu chang 	流畅	c=1 d=0.392586 t=31502
liu cheng 	流程	c=15 d=1.00007 t=29517
liu chun 	刘纯	c=1 d=1 t=31186
liu lan 	浏览	c=2 d=1.00233 t=11157
liu lan qi 	浏览器	c=9 d=1.00005 t=25098
liu lang 	刘朗	c=1 d=1 t=19348
liu le 	流了	c=1 d=1 t=16485
liu liang 	流量	c=1 d=1 t=2596
liu liu 	遛遛	c=1 d=1 t=8476
liu liu cheng 	刘流程	c=3 d=1 t=23616
liu ri 	六日	c=1 d=0.00794669 t=31502
liu shui 	流水	c=2 d=1 t=8764
liu xing 	流行	c=1 d=1 t=5131
liu zhuo 	刘卓	c=1 d=1 t=3279
liu zhuo jun 	刘卓君	c=1 d=1 t=11277
liu zuo 	留做	c=1 d=0.865022 t=31502
lo 	咯	c=68 d=1.68425 t=29354
lo hui 	咯会	c=1 d=1 t=23767
lo o 	咯哦	c=1 d=1 t=12040
long xia 	龙虾	c=1 d=1 t=8761
lou 	喽	c=1 d=1 t=1670
lou 	楼	c=2 d=1 t=27134
lou 	漏	c=2 d=1 t=22817
lou pan 	楼盘	c=3 d=2.53597 t=17760
lou qi 	漏器	c=1 d=1 t=25578
lu 	卢	c=3 d=0.00930256 t=31502
lu 	录	c=7 d=1.86008 t=29469
lu 	撸	c=2 d=1.99005 t=30533
lu 	路	c=8 d=1 t=20387
lu 	陆	c=1 d=1 t=9361
lu 	麓	c=1 d=1 t=15636
lu bian 	路边	c=1 d=0.0161635 t=31502
lu chang hai 	卢昌海	c=1 d=0.00628242 t=31502
lu gu 	麓谷	c=3 d=2.90398 t=16012
lu hui 	芦荟	c=3 d=2.96546 t=9599
lu jin 	路进	c=1 d=1 t=15586
lu jing 	路径	c=4 d=1 t=26792
lu kou 	路口	c=2 d=0.562727 t=31502
lu ru 	录入	c=1 d=1 t=30238
lu shang 	路上	c=1 d=1 t=13323
lu wan 	录完	c=1 d=1 t=23416
lu yin 	录音	c=1 d=1 t=11030
lu you 	路由	c=5 d=1.02242 t=9509
lu zhi 	录制	c=3 d=1 t=19102
luan 	乱	c=4 d=1.19982 t=31493
luan qi ba zao 	乱七八糟	c=2 d=1 t=29558
lun 	伦	c=1 d=1 t=11186
lun 	论	c=1 d=1 t=13796
lun 	轮	c=7 d=1 t=28332
lun bo 	轮薄	c=1 d=1 t=29223
lun dao 	轮到	c=1 d=1 t=11339
lun lai 	轮来	c=1 d=1 t=31180
lun tan 	论坛	c=2 d=1.3027 t=15581
lun wen 	论文	c=4 d=3.48389 t=8968
lun xun 	轮询	c=7 d=1.53526 t=25741
luo 	罗	c=7 d=1.22896 t=27331
luo 	裸	c=1 d=1 t=29432
luo di 	落地	c=1 d=1 t=29435
luo ge 	罗格	c=1 d=1 t=11988
luo hui 	落灰	c=1 d=1 t=23768
luo ji 	逻辑	c=12 d=1.02465 t=29702
luo la 	罗拉	c=0 d=0.1 t=26784
luo lie 	罗列	c=1 d=1 t=7427
luo shi 	落实	c=2 d=1 t=24750
luo suo 	罗嗦	c=6 d=4.04591 t=6783
lv 	旅	c=1 d=1 t=26693
lv 	率	c=1 d=1 t=26956
lv 	绿	c=1 d=1 t=6218
lv hua 	绿化	c=2 d=0.0347605 t=31502
lv ke 	旅客	c=3 d=0.121985 t=31502
lv se 	绿色	c=1 d=1 t=6212
lv shi 	律师	c=1 d=1 t=3866
m 	呒	c=7 d=1.00489 t=29271
m ao 	呒奥	c=1 d=1 t=30788
m ming 	呒名	c=1 d=1 t=10491
m sa 	呒撒	c=1 d=1 t=4437
m shuang 	呒双	c=3 d=1 t=24690
m you 	呒有	c=1 d=1 t=15221
ma 	吗	c=227 d=0.990205 t=31502
ma 	码	c=22 d=0.45842 t=31502
ma 	马	c=2 d=1.9802 t=14330
ma bo yong 	马伯庸	c=3 d=0.373053 t=31502
ma fan 	麻烦	c=8 d=1.00002 t=26198
ma jia 	马甲	c=2 d=0.0840137 t=31502
ma la 	马拉	c=0 d=0.1 t=28096
ma long 	马龙	c=1 d=1 t=23862
ma shang 	马上	c=2 d=1.22425 t=7491
ma zi da 	马自达	c=2 d=1.86502 t=26782
mai 	买	c=56 d=0.0431118 t=31502
mai 	卖	c=7 d=2.30769 t=21060
mai 	埋	c=1 d=1 t=28080
mai che 	买车	c=1 d=1 t=27054
mai dian 	买点	c=2 d=1.64726 t=20236
mai piao 	买票	c=1 d=1 t=14912
mai yi dian 	埋一点	c=1 d=1 t=19193
man 	慢	c=7 d=1 t=31109
man 	满	c=2 d=1 t=16808
man 	蛮	c=7 d=1 t=30052
man dian 	慢点	c=1 d=1 t=13325
man man 	慢慢	c=2 d=0.87418 t=31502
man man 	满满	c=1 d=0.0223708 t=31502
man yi 	满意	c=2 d=1.66365 t=12183
man zu 	满足	c=1 d=1 t=12444
mang 	忙	c=15 d=1.99005 t=31306
mang 	盲	c=1 d=1 t=7306
mang bu 	忙不	c=1 d=1 t=14640
mao 	冒	c=6 d=1.89583 t=14361
mao 	毛	c=1 d=1 t=2471
mao 	牦	c=1 d=1 t=4672
mao bing 	毛病	c=1 d=1 t=13541
me 	么	c=19 d=1.00011 t=30751
me chou chou 	么瞅瞅	c=1 d=1 t=23474
me me 	么么	c=3 d=1.00006 t=16426
me me da 	么么哒	c=22 d=1.00018 t=30159
me me da 	么么打	c=1 d=1 t=3552
me shi 	么是	c=1 d=1 t=26300
me wo 	么我	c=1 d=1 t=25896
me you 	么有	c=3 d=1 t=27150
mei 	妹	c=2 d=1.01691 t=9654
mei 	没	c=249 d=1.55165 t=31206
mei 	美	c=1 d=1 t=3731
mei bi yao 	没必要	c=1 d=1 t=21258
mei ci 	每次	c=6 d=1 t=30759
mei cuo 	没错	c=1 d=1 t=13078
mei de 	没得	c=4 d=1 t=25991
mei dong 	没动	c=2 d=1 t=14438
mei fa 	没法	c=2 d=1 t=29827
mei fa 	美发	c=1 d=1 t=5634
mei ge 	每个	c=4 d=1 t=29369
mei guan xi 	没关系	c=1 d=0.241714 t=31502
mei gui 	玫瑰	c=3 d=1 t=27295
mei guo 	没过	c=1 d=1 t=28770
mei guo 	美国	c=1 d=1 t=19980
mei ju 	枚举	c=1 d=1 t=23181
mei kan 	没看	c=1 d=1 t=17889
mei kong 	没空	c=2 d=1 t=11754
mei mei 	美美	c=1 d=1 t=28216
mei nian 	每年	c=1 d=1 t=3230
mei nv 	美女	c=5 d=1 t=23219
mei qi 	没气	c=1 d=1 t=25580
mei qu 	美区	c=1 d=1 t=15303
mei sha 	没啥	c=2 d=1 t=25304
mei shi 	没事	c=8 d=1 t=29357
mei ti 	媒体	c=2 d=1 t=27172
mei tian 	每天	c=2 d=0.32628 t=31502
mei tou 	眉头	c=1 d=1 t=3106
mei wei 	美味	c=1 d=1 t=16430
mei xie 	没写	c=2 d=1 t=18232
mei yan 	美艳	c=1 d=1 t=30251
mei yi 	每一	c=0 d=0.1 t=30242
mei yi ge 	每一个	c=1 d=1 t=30243
mei yi tian 	每一天	c=1 d=1 t=24337
mei yong 	没用	c=10 d=2.19703 t=29323
mei you 	没有	c=80 d=0.949885 t=31502
mei zi 	妹子	c=1 d=1 t=23476
men 	们	c=12 d=0.0374406 t=31502
men 	门	c=4 d=0.0430669 t=31502
meng 	孟	c=3 d=1 t=31302
meng 	蒙	c=1 d=1 t=13395
meng bi 	懵比	c=1 d=1 t=5513
mi 	迷	c=1 d=0.1 t=23035
mi dou 	密豆	c=1 d=1 t=20992
mi ma 	密码	c=2 d=1 t=20520
mian 	绵	c=0 d=0.1 t=24720
mian 	面	c=50 d=0.054204 t=31502
mian bo zhi li 	绵薄之力	c=1 d=1 t=24721
mian dui mian 	面对面	c=1 d=1 t=28634
mian e 	面额	c=1 d=1 t=10493
mian fei 	免费	c=1 d=1 t=31268
mian qian 	面前	c=1 d=1 t=5764
mian shi 	面试	c=9 d=1 t=27091
mian shi ti 	面试题	c=1 d=1 t=7911
mian shu 	面熟	c=1 d=1 t=31449
mian xiang 	面向	c=1 d=1 t=14945
miao 	瞄	c=2 d=1 t=6962
miao 	秒	c=3 d=0.0124007 t=31502
miao shi 	藐视	c=1 d=1 t=31471
miao shu 	描述	c=8 d=1 t=31450
miao su 	秒速	c=2 d=1 t=30688
mie 	灭	c=1 d=1 t=4268
mie le 	灭了	c=0 d=0.1 t=18361
min 	抿	c=1 d=1 t=29257
min 	敏	c=1 d=0.00887071 t=31502
min 	民	c=3 d=1 t=29255
min gan 	敏感	c=1 d=1 t=17441
min tai 	闽台	c=1 d=1 t=4920
min zu 	民族	c=1 d=0.0525237 t=31502
min zu wu 	民族舞	c=1 d=0.0471227 t=31502
ming 	名	c=12 d=1 t=29256
ming 	明	c=2 d=1.98511 t=7158
ming 	铭	c=1 d=1 t=13871
ming bai 	明白	c=1 d=1 t=7445
ming chao 	明朝	c=0 d=0.0138761 t=31502
ming chao mo nian 	明朝末年	c=1 d=0.139457 t=31502
ming dan 	名单	c=1 d=1.04649 t=18089
ming hui 	名讳	c=1 d=1 t=2074
ming jie 	名接	c=1 d=1 t=31294
ming jue 	名爵	c=1 d=1 t=31297
ming liang 	明亮	c=1 d=0.00195963 t=31502
ming ling 	命令	c=6 d=1 t=30660
ming ming 	命名	c=1 d=1 t=1783
ming nian 	明年	c=6 d=1 t=23165
ming que 	明确	c=2 d=1 t=22963
ming tian 	明天	c=22 d=0.00324708 t=31502
ming xi 	明细	c=5 d=3.25838 t=2147
ming xian 	明显	c=3 d=1.00045 t=30020
ming yi 	名义	c=1 d=1 t=17762
ming zi 	名字	c=10 d=0.451581 t=31502
mo 	摸	c=1 d=1 t=18497
mo 	末	c=4 d=0.127454 t=31502
mo 	磨	c=1 d=1 t=9251
mo 	莫	c=2 d=1 t=15607
mo 	魔	c=1 d=0.126818 t=31502
mo bai 	膜拜	c=1 d=1 t=23236
mo ban 	模板	c=4 d=1 t=23050
mo hu 	模糊	c=3 d=2.03738 t=30993
mo kuai 	模块	c=3 d=1.04335 t=24229
mo le 	摸了	c=1 d=1 t=18495
mo na lai 	末拿来	c=1 d=1 t=24126
mo ni 	模拟	c=2 d=1 t=13785
mo nian 	末年	c=0 d=0.0138761 t=31502
mo pa 	摸爬	c=1 d=1 t=24183
mo ren 	默认	c=18 d=1 t=30617
mo sheng 	陌生	c=1 d=1 t=28621
mo shi 	模式	c=11 d=1 t=30648
